"longitude","laitude","rescore"
130.325,33.675,-0.38383738388806
134.375,33.475,-0.251095355972348
129.375,33.275,-0.366406021633831
132.375,33.025,-0.132298810830161
-64.825,32.825,-0.0683872193852183
131.975,32.825,-0.118076471887202
132.725,32.625,-0.215500521997253
-64.775,32.525,-0.0564282386394321
-64.725,32.525,-0.0537427896655713
-64.675,32.525,-0.0507393352602655
-64.925,32.475,-0.0653942757687221
-64.875,32.475,-0.0745923021638441
-64.825,32.475,-0.0795472633476094
-64.775,32.475,-0.0782086436678982
-64.725,32.475,-0.0666480787635521
-64.675,32.475,-0.0547682441171461
-64.625,32.475,-0.0489440572891542
-64.575,32.475,-0.0477171925386473
-64.925,32.425,-0.0886913618183579
-64.875,32.425,-0.102144008199935
-64.825,32.425,-0.107106312111794
-64.775,32.425,-0.10019474156678
-64.725,32.425,-0.0890667663662705
-64.675,32.425,-0.0676507697104844
-64.625,32.425,-0.0530830350948209
-64.575,32.425,-0.0457143497852584
-64.425,32.425,-0.0454683072921917
-64.975,32.375,-0.0965195260139936
-64.925,32.375,-0.120744523822008
-64.875,32.375,-0.14714191143328
-64.825,32.375,-0.162994768092378
-64.775,32.375,-0.140382309558698
-64.725,32.375,-0.109174796349947
-64.675,32.375,-0.0749479988627218
-64.625,32.375,-0.057505822123103
-64.575,32.375,-0.0486257426698821
-65.075,32.325,-0.0717039314776926
-65.025,32.325,-0.0881176438305047
-64.975,32.325,-0.114758336743273
-64.925,32.325,-0.147916923872019
-64.875,32.325,-0.16361201134066
-64.825,32.325,-0.163888751525079
-64.775,32.325,-0.131333490678623
-64.725,32.325,-0.104268753072184
-64.675,32.325,-0.0762348023325728
-64.625,32.325,-0.0584354611378396
-65.025,32.275,-0.0945421716087529
-64.975,32.275,-0.124228579921439
-64.925,32.275,-0.148098423638259
-64.875,32.275,-0.156657206803992
-64.825,32.275,-0.145716383047677
-64.775,32.275,-0.116360165160082
-64.725,32.275,-0.0851644924439351
-64.675,32.275,-0.0692877802328319
-62.725,32.275,-0.0253609104826892
-65.025,32.225,-0.0935366375566863
-64.975,32.225,-0.107636944786214
-64.925,32.225,-0.123952568636878
-64.875,32.225,-0.122515288867687
-64.825,32.225,-0.108032446951963
-64.775,32.225,-0.0839019795425248
-64.675,32.225,-0.0582353846860166
-65.025,32.175,-0.0786879903892389
-64.975,32.175,-0.0852002151514333
-64.925,32.175,-0.086791677561482
-64.875,32.175,-0.0786967133550744
131.475,31.275,-0.201971354149689
130.825,30.775,-0.185864741219759
130.875,30.775,-0.186504055858307
131.075,30.775,-0.169783444434652
130.825,30.725,-0.185837598545569
130.875,30.725,-0.186663760395358
130.975,30.725,-0.173900287759029
131.075,30.725,-0.163082431166754
130.975,30.675,-0.169621223703298
131.075,30.675,-0.157282467037339
131.075,30.625,-0.152707718697248
131.075,30.575,-0.155134713307128
130.975,30.525,-0.158039625680789
131.025,30.525,-0.157757925198982
130.875,30.475,-0.165360467316375
130.975,30.475,-0.160796127987557
130.975,30.425,-0.160035691709844
130.675,30.375,-0.155880772275658
130.975,30.375,-0.160000382642988
130.675,30.325,-0.148780035445498
130.625,30.275,-0.144719512377161
130.675,30.275,-0.145411894407666
48.975,30.175,-0.330367928437367
129.825,30.075,-0.140608251440608
129.875,30.075,-0.139852962690139
